time,x,y,radius,v_x,v_y,a_x,a_y,total_energy
126057600.0,-177099744538.7392,4089899800.191686,177146963835.2921,-1081.6143874946313,-27328.190209756398,0.004226466315177772,-9.760501791227214e-05,-374905364.5508965
126100800.0,-177142526480.03094,2909230905.9358954,177166414176.5942,-899.0310426789515,-27332.406746530207,0.004226095101313171,-6.940561775012582e-05,-374888722.6729665
126144000.0,-177177421167.21375,1728406170.7157555,177185851464.9384,-716.4637343022225,-27335.405069217013,0.004225536655713584,-4.1221074232863147e-05,-374872089.1755605
126187200.0,-177204429467.77142,547478207.5167923,177205275190.6277,-533.9205507753957,-27337.18581962387,0.0042247912206210495,-1.3052614607576502e-05,-374855464.0470593
126230400.0,-177223552598.38113,-633500399.5467017,177224684844.82455,-351.4095700445663,-27337.74969257492,0.004223859046052327,1.5098537153055253e-05,-374838847.27562207
126273600.0,-177234792124.454,-1814477097.5189497,177244079919.57263,-168.93885925510577,-27337.097435769905,0.004222740389757585,4.323116039543234e-05,-374822238.8491862
126316800.0,-177238149959.66135,-2995399366.8838215,177263459907.8178,13.48352558242189,-27335.229849640822,0.004221435517178953,7.134403782919556e-05,-374805638.75547004
126360000.0,-177233628365.44638,-4176214723.8397255,177282824303.42984,195.84953992455266,-27332.147787206603,0.004219944701408865,9.943595557088423e-05,-374789046.98197186
126403200.0,-177221229950.52185,-5356870722.568189,177302172601.2235,378.15115102541563,-27327.852153925942,0.00421826822314826,0.00012750570318709217,-374772463.51597226
126446400.0,-177200957670.35315,-6537314957.496032,177321504296.9797,560.3803382654205,-27322.34390754826,0.004216406370664632,0.00015555207373712225,-374755888.3445349
126489600.0,-177172814826.6275,-7717495065.551071,177340818887.46664,742.5290934781326,-27315.624057962817,0.004214359439749901,0.0001835738638151406,-374739321.45450723
126532800.0,-177136805066.70883,-8897358728.41126,177360115870.4607,924.5894212753284,-27307.693667046,0.004212127733678181,0.00021156987359183276,-374722762.8325221
126576000.0,-177092932383.0789,-10076853674.747202,177379394744.7674,1106.5533393702258,-27298.553848506835,0.004209711563163366,0.00023953890685556132,-374706212.4649983
126619200.0,-177041201112.76425,-11255927682.457932,177398655010.24228,1288.4128788988833,-27288.205767730677,0.0042071112463166,0.0002674797710530271,-374689670.33814156
126662400.0,-176981615936.74966,-12434528580.899933,177417896167.8116,1470.1600847397604,-27276.650641621185,0.004204327108603627,0.0002953912773294361,-374673136.4379461
126705600.0,-176914181879.37732,-13612604253.109266,177437117719.49286,1651.787015831437,-27263.889738440554,0.004201359482802011,0.0003232722405681732,-374656610.7501954
126748800.0,-176838904307.73282,-14790102638.016779,177456319168.41553,1833.2857454884838,-27249.924377648007,0.004198208708958227,0.00035112147942998164,-374640093.2604632
126792000.0,-176755788931.0172,-15966971732.656286,177475500018.84134,2014.6483617154793,-27234.75592973663,0.004194875134344667,0.0003789378163916557,-374623583.9541149
126835200.0,-176664841799.90576,-17143159594.365679,177494659776.18488,2195.866967519169,-27218.385816068512,0.004191359113416508,0.00040672007778424065,-374607082.8163081
126878400.0,-176566069305.89304,-18318614342.980858,177513797947.03366,2376.933681218762,-27200.815508708234,0.004187661007768508,0.0004344670938307484,-374590589.8319941
126921600.0,-176459478180.62482,-19493284163.022457,177532914039.16837,2557.8406367543616,-27182.046530254745,0.0041837811860916925,0.0004621776986833869,-374574104.98591954
126964800.0,-176345075495.21667,-20667117305.875267,177552007561.58313,2738.5799839935225,-27162.080453671624,0.004179720024129945,0.0004898507304603041,-374557628.26262563
127008000.0,-176222868659.55923,-21840062091.960274,177571078024.50528,2919.1438890359364,-27140.91890211574,0.004175477904636534,0.0005174850312818541,-374541159.6464515
127051200.0,-176092865421.6105,-23012066912.899284,177590124939.41544,3099.524534516235,-27118.563548764363,0.004171055217330539,0.000545079447306379,-374524699.1215339
127094400.0,-175955073866.675,-24183080233.672035,177609147819.06723,3279.7141199049142,-27095.016116640727,0.0041664523588532155,0.0005726328287655161,-374508246.6718088
127137600.0,-175809502416.67,-25353050594.76574,177628146177.50717,3459.704861807373,-27070.278378438055,0.004161669732724282,0.0006001440299990266,-374491802.281012
127180800.0,-175656159829.37894,-26521926614.31699,177647119530.0941,3639.488994261062,-27044.352156342098,0.0041567077492981564,0.0006276119094891535,-374475365.93268114
127224000.0,-175495055197.69183,-27689656990.245987,177666067393.51886,3819.0587690307425,-27017.23932185217,0.004151566825720114,0.0006550353298945041,-374458937.6101562
127267200.0,-175326197948.8333,-28856190502.38297,177684989285.82373,3998.4064559018516,-26988.941795600727,0.004146247385882411,0.000682413158083466,-374442517.29658055
127310400.0,-175149597843.57764,-30021476014.58685,177703884726.42175,4177.524342971972,-26959.461547171522,0.004140749860380345,0.0007097442651671531,-374426104.9749024
127353600.0,-174965264975.45154,-31185462476.855946,177722753236.11594,4356.404736940403,-26928.8005949163,0.00413507468646829,0.0007370275265318897,-374409700.627876
127396800.0,-174773209769.92426,-32348098927.43077,177741594337.1185,4535.039963395833,-26896.961005770125,0.004129222308015657,0.0007642618218712273,-374393304.23806244
127440000.0,-174573442983.5855,-33509334494.888813,177760407553.06995,4713.42236710211,-26863.944895065288,0.004123193175462863,0.0007914460352175046,-374376915.7878305
127483200.0,-174365975703.3108,-34669118400.231255,177779192409.0579,4891.544312282105,-26829.75442634389,0.004116987745777237,0.0008185790549729482,-374360535.2593591
127526400.0,-174150819345.41486,-35827399958.96153,177797948431.63605,5069.398182899682,-26794.39181116906,0.004110606482408923,0.0008456597739403167,-374344162.6346372
127569600.0,-173927985654.79272,-36984128583.15578,177816675148.84308,5246.976382939748,-26757.859308934836,0.004104049855246738,0.0008726870893530909,-374327797.8954644
127612800.0,-173697486704.0488,-38139253783.52495,177835372090.22095,5424.271336686407,-26720.159226674783,0.0040973183405740524,0.0008996599029052188,-374311441.0234548
127656000.0,-173459334892.614,-39292725171.468704,177854038786.83383,5601.275488999207,-26681.293918869276,0.004090412421024615,0.000926577120780404,-374295092.0000351
127699200.0,-173213542945.85095,-40444492461.12091,177872674771.28638,5777.98130558747,-26641.265787251563,0.004083332585538403,0.000953437653680954,-374278750.8064473
127742400.0,-172960123914.14737,-41594505471.38678,177891279577.74222,5954.381273282729,-26600.077280612546,0.004076079329317448,0.0009802404168561846,-374262417.4237498
127785600.0,-172699091171.99777,-42742714127.971466,177909852741.94202,6130.467900309243,-26557.73089460436,0.004068653153781695,0.0010069843301303853,-374246091.8328186
127828800.0,-172430458417.07355,-43889068465.400246,177928393801.22195,6306.233716552612,-26514.229171542727,0.004061054566524817,0.0010336683179303409,-374229774.01434773
127872000.0,-172154239669.28134,-45033518629.03007,177946902294.53156,6481.671273826484,-26469.574700208137,0.004053284081270092,0.0010602913093124273,-374213463.94885105
127915200.0,-171870449269.81012,-46176014877.05251,177965377762.45172,6656.773146137352,-26423.77011564584,0.004045342217826263,0.0010868522379892682,-374197161.6166634
127958400.0,-171579101880.1667,-47316507582.488106,177983819747.21262,6831.531929947447,-26376.8180989647,0.004037229502043427,0.0011133500423559676,-374180866.99794173
128001600.0,-171280212481.2,-48454947235.17186,178002227792.7114,7005.940244435723,-26328.721377134923,0.004028946465768943,0.0011397836655159114,-374164580.0726658
128044800.0,-170973796372.11423,-49591284443.73012,178020601444.52982,7179.990731756941,-26279.482722784636,0.004020493646803376,0.001166152055306149,-374148300.82064104
128088000.0,-170659869169.4706,-50725469937.54857,178038940249.95197,7353.676057298847,-26229.10495399541,0.004011871588856448,0.0011924541643223519,-374132029.2214971
128131200.0,-170338446806.17828,-51857454568.73136,178057243757.98157,7526.988909937446,-26177.590934096686,0.004003080841503055,0.0012186889499433556,-374115765.2546909
