time,x,y,v_x,v_y
34171200.0,226699410873.00128,-4532796643.549546,21.732287388326682,24218.958787169093
34214400.0,226681899271.4802,-347377014.56214297,-424.185718893062,24225.602078155982
34257600.0,226587317844.32217,3838797917.671445,-870.3963424920393,24224.010743228337
34300800.0,226415623319.0815,8024304503.750185,-1316.7465864406913,24214.17046529319
34344000.0,226166798895.6905,12207716757.043423,-1763.0827395338279,24196.069800254532
34387200.0,225840854367.301,16387606851.75186,-2209.2504306394194,24169.700210544277
34430400.0,225437826231.67065,20562545626.716156,-2655.0946844901964,24135.056097667155
34473600.0,224957777792.83792,24731103094.79976,-3100.459978944038,24092.134833696593
34516800.0,224400799252.8332,28891848957.661694,-3545.1903036981703,24040.936791658503
34560000.0,223767007793.1755,33043353125.72412,-3989.1292204395654,23981.46537473962
34603200.0,223056547645.90723,37184186243.12849,-4432.119924411209,23913.72704425676
34646400.0,222269590153.92386,41312920217.46318,-4874.005307371183,23837.731346323515
34689600.0,221406333820.3587,45428128754.03451,-5314.628021918715,23753.490937150895
34732800.0,220467004346.78845,49528387894.44197,-5753.830547158526,23661.02160691863
34776000.0,219451854660.02863,53612276559.207886,-6191.455255672001,23560.342302154288
34819200.0,218361164927.29605,57678377094.20034,-6627.344481760765,23451.475146557703
34862400.0,217195242559.51944,61725275820.57815,-7061.340590925448,23334.445460208903
34905600.0,215954422202.58646,65751563587.97529,-7493.286050539458,23209.281777098397
34948800.0,214639065716.32346,69755836330.63223,-7923.023501674713,23076.015860919604
34992000.0,213249562141.01013,73736695626.17094,-8350.39583203337,22934.682719064174
35035200.0,211786327651.24118,77692749256.70024,-8775.246249936696,22785.320614762135
35078400.0,210249805496.95413,81622611771.92822,-9197.418359319365,22627.971077310023
35121600.0,208640465931.45215,85524905053.94872,-9616.756235674568,22462.678910331753
35164800.0,206958806126.26077,89398258883.35933,-10033.10450289256,22289.492198018328
35208000.0,205205350072.66647,93241311506.35904,-10446.308410932432,22108.46230929442
35251200.0,203380648469.79642,97052710202.46512,-10856.213914264154,21919.643899861654
35294400.0,201485278599.1091,100831111852.47977,-11262.667751015297,21723.09491207041
35337600.0,199519844185.17773,104575183506.32927,-11665.517522754139,21518.876572574136
35380800.0,197484975242.6595,108283602950.39029,-12064.611774838371,21307.053387722575
35424000.0,195381327909.3561,111955059273.91074,-12459.800077256099,21087.69313665254
35467200.0,193209584265.28522,115588253434.12508,-12850.93310588343,20860.86686203765
35510400.0,190970452137.6932,119181898819.65837,-13237.8627240807,20626.648858461132
35553600.0,188664664891.9552,122734721811.80623,-13620.442064547071,20385.1166583785
35596800.0,186292981208.32187,126245462343.27322,-13998.525611351291,20136.35101564011
35640000.0,183856184844.48593,129712874453.94618,-14371.969282054304,19880.435886546555
35683200.0,181355084383.9568,133135726843.2755,-14740.630509837587,19617.45840841318
35726400.0,178790512970.24704,136512803418.8326,-15104.36832554944,19347.508875623244
35769600.0,176163328026.88843,139842903840.609,-15463.043439579755,19070.680713152877
35812800.0,173474410963.31192,143124844060.61935,-15816.518323472474,18787.07044755433
35856000.0,170724666866.64087,146357456857.36868,-16164.657291183581,18496.777675387864
35899200.0,167915024179.46387,149539592364.7427,-16507.326579891418,18199.905029096237
35942400.0,165046434363.66843,152670118594.8794,-16844.394430265114,17896.55814031965
35985600.0,162119871550.4339,155747921954.57895,-17175.73116609617,17586.84560065293
